2016-10-20 20:17:43 install debconf-i18n:all <none> 1.5.56
2016-10-20 20:17:43 status half-installed debconf-i18n:all 1.5.56
2016-10-20 20:17:43 status unpacked debconf-i18n:all 1.5.56
2016-10-20 20:17:43 status unpacked debconf-i18n:all 1.5.56
2016-10-20 20:17:44 install debianutils:amd64 <none> 4.4+b1
2016-10-20 20:17:44 status half-installed debianutils:amd64 4.4+b1
2016-10-20 20:17:44 status unpacked debianutils:amd64 4.4+b1
2016-10-20 20:17:44 status unpacked debianutils:amd64 4.4+b1
2016-10-20 20:17:44 install diffutils:amd64 <none> 1:3.3-1+b1
2016-10-20 20:17:44 status half-installed diffutils:amd64 1:3.3-1+b1
2016-10-20 20:17:44 status unpacked diffutils:amd64 1:3.3-1+b1
2016-10-20 20:17:44 status unpacked diffutils:amd64 1:3.3-1+b1
2016-10-20 20:17:44 upgrade dpkg:amd64 1.17.27 1.17.27
2016-10-20 20:17:44 status half-configured dpkg:amd64 1.17.27
2016-10-20 20:17:44 status unpacked dpkg:amd64 1.17.27
2016-10-20 20:17:44 status half-installed dpkg:amd64 1.17.27
2016-10-20 20:17:44 status half-installed dpkg:amd64 1.17.27
2016-10-20 20:17:44 status unpacked dpkg:amd64 1.17.27
2016-10-20 20:17:44 status unpacked dpkg:amd64 1.17.27
2016-10-20 20:17:45 install e2fslibs:amd64 <none> 1.42.12-2
2016-10-20 20:17:45 status half-installed e2fslibs:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked e2fslibs:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked e2fslibs:amd64 1.42.12-2
2016-10-20 20:17:45 install e2fsprogs:amd64 <none> 1.42.12-2
2016-10-20 20:17:45 status half-installed e2fsprogs:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked e2fsprogs:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked e2fsprogs:amd64 1.42.12-2
2016-10-20 20:17:45 install libcomerr2:amd64 <none> 1.42.12-2
2016-10-20 20:17:45 status half-installed libcomerr2:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked libcomerr2:amd64 1.42.12-2
2016-10-20 20:17:45 status unpacked libcomerr2:amd64 1.42.12-2
2016-10-20 20:17:45 install libss2:amd64 <none> 1.42.12-2
2016-10-20 20:17:45 status half-installed libss2:amd64 1.42.12-2
2016-10-20 20:17:46 status unpacked libss2:amd64 1.42.12-2
2016-10-20 20:17:46 status unpacked libss2:amd64 1.42.12-2
2016-10-20 20:17:46 install findutils:amd64 <none> 4.4.2-9+b1
2016-10-20 20:17:46 status half-installed findutils:amd64 4.4.2-9+b1
2016-10-20 20:17:46 status unpacked findutils:amd64 4.4.2-9+b1
2016-10-20 20:17:46 status unpacked findutils:amd64 4.4.2-9+b1
2016-10-20 20:17:46 install gcc-4.8-base:amd64 <none> 4.8.4-1
2016-10-20 20:17:46 status half-installed gcc-4.8-base:amd64 4.8.4-1
2016-10-20 20:17:46 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-10-20 20:17:46 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-10-20 20:17:46 install gcc-4.9-base:amd64 <none> 4.9.2-10
2016-10-20 20:17:46 status half-installed gcc-4.9-base:amd64 4.9.2-10
2016-10-20 20:17:46 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-10-20 20:17:46 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-10-20 20:17:47 install libgcc1:amd64 <none> 1:4.9.2-10
2016-10-20 20:17:47 status half-installed libgcc1:amd64 1:4.9.2-10
2016-10-20 20:17:47 status unpacked libgcc1:amd64 1:4.9.2-10
2016-10-20 20:17:47 status unpacked libgcc1:amd64 1:4.9.2-10
2016-10-20 20:17:47 install libc-bin:amd64 <none> 2.19-18+deb8u6
2016-10-20 20:17:47 status half-installed libc-bin:amd64 2.19-18+deb8u6
2016-10-20 20:17:47 status unpacked libc-bin:amd64 2.19-18+deb8u6
2016-10-20 20:17:47 status unpacked libc-bin:amd64 2.19-18+deb8u6
2016-10-20 20:17:47 upgrade libc6:amd64 2.19-18+deb8u6 2.19-18+deb8u6
2016-10-20 20:17:47 status half-configured libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:47 status unpacked libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:47 status half-installed libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 status half-installed libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 status unpacked libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 status unpacked libc6:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 install multiarch-support:amd64 <none> 2.19-18+deb8u6
2016-10-20 20:17:48 status half-installed multiarch-support:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 status unpacked multiarch-support:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 status unpacked multiarch-support:amd64 2.19-18+deb8u6
2016-10-20 20:17:48 install grep:amd64 <none> 2.20-4.1
2016-10-20 20:17:48 status half-installed grep:amd64 2.20-4.1
2016-10-20 20:17:48 status unpacked grep:amd64 2.20-4.1
2016-10-20 20:17:48 status unpacked grep:amd64 2.20-4.1
2016-10-20 20:17:48 install gzip:amd64 <none> 1.6-4
2016-10-20 20:17:48 status half-installed gzip:amd64 1.6-4
2016-10-20 20:17:49 status unpacked gzip:amd64 1.6-4
2016-10-20 20:17:49 status unpacked gzip:amd64 1.6-4
2016-10-20 20:17:49 install hostname:amd64 <none> 3.15
2016-10-20 20:17:49 status half-installed hostname:amd64 3.15
2016-10-20 20:17:49 status unpacked hostname:amd64 3.15
2016-10-20 20:17:49 status unpacked hostname:amd64 3.15
2016-10-20 20:17:49 install init:amd64 <none> 1.22
2016-10-20 20:17:49 status half-installed init:amd64 1.22
2016-10-20 20:17:49 status unpacked init:amd64 1.22
2016-10-20 20:17:49 status unpacked init:amd64 1.22
2016-10-20 20:17:49 install insserv:amd64 <none> 1.14.0-5
2016-10-20 20:17:49 status half-installed insserv:amd64 1.14.0-5
2016-10-20 20:17:49 status unpacked insserv:amd64 1.14.0-5
2016-10-20 20:17:49 status unpacked insserv:amd64 1.14.0-5
2016-10-20 20:17:49 install libkmod2:amd64 <none> 18-3
2016-10-20 20:17:49 status half-installed libkmod2:amd64 18-3
2016-10-20 20:17:50 status unpacked libkmod2:amd64 18-3
2016-10-20 20:17:50 status unpacked libkmod2:amd64 18-3
2016-10-20 20:17:50 install libcap2:amd64 <none> 1:2.24-8
2016-10-20 20:17:50 status half-installed libcap2:amd64 1:2.24-8
2016-10-20 20:17:50 status unpacked libcap2:amd64 1:2.24-8
2016-10-20 20:17:50 status unpacked libcap2:amd64 1:2.24-8
2016-10-20 20:17:50 install libcap2-bin:amd64 <none> 1:2.24-8
2016-10-20 20:17:50 status half-installed libcap2-bin:amd64 1:2.24-8
2016-10-20 20:17:50 status unpacked libcap2-bin:amd64 1:2.24-8
2016-10-20 20:17:50 status unpacked libcap2-bin:amd64 1:2.24-8
2016-10-20 20:17:50 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2016-10-20 20:17:50 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2016-10-20 20:17:50 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2016-10-20 20:17:50 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2016-10-20 20:17:51 install libgpg-error0:amd64 <none> 1.17-3
2016-10-20 20:17:51 status half-installed libgpg-error0:amd64 1.17-3
2016-10-20 20:17:51 status unpacked libgpg-error0:amd64 1.17-3
2016-10-20 20:17:51 status unpacked libgpg-error0:amd64 1.17-3
2016-10-20 20:17:51 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2016-10-20 20:17:51 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2016-10-20 20:17:51 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-10-20 20:17:51 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2016-10-20 20:17:51 install libselinux1:amd64 <none> 2.3-2
2016-10-20 20:17:51 status half-installed libselinux1:amd64 2.3-2
2016-10-20 20:17:51 status unpacked libselinux1:amd64 2.3-2
2016-10-20 20:17:51 status unpacked libselinux1:amd64 2.3-2
2016-10-20 20:17:51 install libsemanage-common:all <none> 2.3-1
2016-10-20 20:17:51 status half-installed libsemanage-common:all 2.3-1
2016-10-20 20:17:51 status unpacked libsemanage-common:all 2.3-1
2016-10-20 20:17:51 status unpacked libsemanage-common:all 2.3-1
2016-10-20 20:17:52 install libsemanage1:amd64 <none> 2.3-1+b1
2016-10-20 20:17:52 status half-installed libsemanage1:amd64 2.3-1+b1
2016-10-20 20:17:52 status unpacked libsemanage1:amd64 2.3-1+b1
2016-10-20 20:17:52 status unpacked libsemanage1:amd64 2.3-1+b1
2016-10-20 20:17:52 install libsepol1:amd64 <none> 2.3-2
2016-10-20 20:17:52 status half-installed libsepol1:amd64 2.3-2
2016-10-20 20:17:52 status unpacked libsepol1:amd64 2.3-2
2016-10-20 20:17:52 status unpacked libsepol1:amd64 2.3-2
2016-10-20 20:17:52 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2016-10-20 20:17:52 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2016-10-20 20:17:52 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-10-20 20:17:52 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2016-10-20 20:17:52 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2016-10-20 20:17:52 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2016-10-20 20:17:52 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-10-20 20:17:52 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2016-10-20 20:17:52 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-10-20 20:17:52 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-10-20 20:17:53 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-10-20 20:17:53 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-10-20 20:17:53 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-10-20 20:17:53 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-10-20 20:17:53 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-10-20 20:17:53 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-10-20 20:17:53 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2016-10-20 20:17:53 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2016-10-20 20:17:53 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
